2400721;168
7556925;140
17024806;89
17590009;86
21986226;62
26624166;37
33342706;5
38872115;35
47493410;82
60847747;154
63454157;169
68754972;157
77303860;111
77699415;108
86067913;63
88218494;51
93652720;22
95017677;14
97951553;7
101457826;26
102886577;34
111407600;80
116359313;107
120900706;131
122510311;140
125164430;154
126332779;161
129307538;178
135009405;147
136004122;142
136056742;141
138607845;127
139507431;122
143481266;101
144091651;97
147105400;81
151237458;58
153152615;48
157817323;23
159443192;14
168855670;42
174475003;73
179790727;101
182892503;118
189760661;155
199861340;144
201670813;134
201769588;134
213566704;70
214911985;62
215626530;58
218391389;43
220703677;31
226597776;6
228972020;19
233671989;45
236937092;63
238706235;72
253785920;154
253830286;154
256126822;167
257629550;180
265184873;139
266362981;132
268500402;121
277507170;72
5888280;31
5921559;31
13196217;71
16849172;91
18052754;97
21209819;114
21420708;115
31761807;171
34097047;184
38391078;208
44002864;238
45003790;243
55325157;299
58088755;314
58193980;315
60415083;327
63575008;344
67176179;364
67301736;364
68488568;371
68785627;372
71453578;387
73160969;396
85514675;463
86030645;466
89291446;483
96955712;525
97166672;526
102762896;556
104055802;563
106331183;576
111791467;605
115550612;626
120118238;650
132392384;716
141423662;765
142138557;769
142413286;771
143764481;778
145159880;786
