750350590;158
759882850;107
761031178;100
765852452;74
767065486;68
769199863;56
772008179;41
773456756;33
785737781;39
790429230;65
794698020;88
794904051;89
795453440;92
808750218;164
811003590;178
812151780;172
812213458;172
819021746;135
819730644;131
821747870;120
823072097;113
825098706;102
827952111;86
835104670;47
836170980;42
836848100;38
838260022;30
845552760;14
846725614;21
847798251;27
850559522;42
853027189;55
853136762;56
853927307;60
855185639;67
856592060;74
864742280;119
867608833;134
869383857;144
876607287;171
880550658;150
883779217;133
884208605;130
890144397;98
890513719;96
891934779;89
893685526;79
904540398;20
905838638;13
923653479;89
924583782;94
926915238;107
928580260;116
929975712;123
930318225;125
935692336;154
937662948;165
939020470;172
943598138;157
955093458;95
33270;0
6669483;36
12873618;69
15256278;82
15839418;85
15958845;86
23983366;130
27238859;148
41386923;224
43442380;235
48391721;262
51193282;277
54070829;293
54074748;293
58779166;319
59410633;322
63364419;343
65823214;357
69817629;378
73228965;397
74902499;406
78047275;423
88656125;481
91853065;498
94145902;510
94962675;515
