Angle;Time_Minutes;Counts_34f
1;310.641;11
2;485.355;24
3;557.846;31
4;559.537;18
5;554.647;24
6;559.734;39
7;558.597;29
8;556.713;49
9;555.653;35
10;560.736;37
11;557.535;31
12;557.564;22
13;556.104;42
14;559.204;33
15;559.285;41
16;557.681;35
17;558.684;37
18;557.427;37
19;559.349;32
20;553.188;30
21;548.94;34
22;548.096;26
23;547.944;54
24;549.877;32
25;548.193;28
26;550.922;36
27;548.931;28
28;546.073;21
29;549.589;26
30;550.703;45
31;546.792;34
32;549.697;17
33;548.604;38
34;548.904;46
35;550.533;29
36;545.725;31
37;551.179;31
38;548.671;25
39;550.071;32
40;550.578;50
41;544.624;33
42;551.156;48
43;550.567;43
44;549.523;24
45;547.284;56
46;549.445;38
47;551.979;43
48;545.758;45
49;550.105;32
50;548.135;31
51;548.895;29
52;549.458;34
53;550.495;21
54;547.13;46
55;547.669;34
56;551.481;24
57;548.088;32
58;548.076;30
59;551.617;37
60;546.594;23
61;547.153;35
62;551.566;29
63;553.121;34
64;549.62;44
65;553.081;31
66;550.627;30
67;554.044;36
68;550.334;26
69;551.024;24
70;553.205;26
71;553.189;54
72;552.766;30
73;551.325;17
74;550.837;32
75;551.971;34
76;552.812;39
77;550.479;31
78;551.835;45
79;554.136;52
80;550.912;46
81;549.379;49
82;544.387;41
83;541.233;26
84;542.14;37
85;547.323;23
86;540.082;46
87;543.124;29
88;543.279;35
89;544.022;25
90;540.49;34
91;544.134;27
92;544.902;17
93;541.799;28
94;542.51;29
95;544.542;36
96;542.481;25
97;542.337;46
98;539.88;53
99;544.095;50
100;545.683;24
101;541.444;24
102;541.752;27
103;542.776;23
104;541.34;29
105;547.07;24
106;541.762;36
107;545.38;28
108;544.38;28
109;542.971;22
110;539.141;32
111;545.315;33
112;542.396;24
113;540.734;39
114;544.108;41
115;541.623;33
116;545.237;35
117;542.24;20
118;540.453;25
119;539.968;33
120;538.747;31
121;535.083;39
122;532.874;50
123;527.736;40
124;527.63;28
125;527.874;50
126;526.754;47
127;530.087;34
128;529.588;24
129;531.272;30
130;532.392;32
131;529.367;42
132;1056.23;67
133;537.483;28
134;537.123;29
135;535.849;41
136;533.095;38
137;533.866;40
138;533.528;52
139;535.333;29
140;534.656;40
141;536.563;28
142;545.984;34
143;542.958;52
144;543.815;41
145;542.154;30
146;543.787;31
147;543.29;31
148;542.205;33
149;542.097;47
150;542.773;30
151;543.988;47
152;544.078;42
153;541.859;44
154;543.351;32
155;543.531;46
156;540.142;43
157;544.831;25
158;542.968;17
159;543.709;48
160;540.881;31
161;543.316;51
162;541.87;40
163;545.882;34
164;542.074;42
165;542.16;27
166;543.579;28
167;543.122;38
168;544.242;24
169;541.246;35
170;545.001;24
171;542.387;46
172;545.359;36
173;538.053;37
174;550.772;25
175;551.27;22
176;546.246;47
177;547.669;31
178;543.937;31
179;474.236;25
180;291.522;16
