Angle;Time_Minutes;Counts_34f
0;0;0
1;0;0
2;2.21693;0
3;3.06837;0
4;2.99898;0
5;2.83448;0
6;3.15127;1
7;2.9893;1
8;2.99742;0
9;2.97575;0
10;2.8954;0
11;3.15478;0
12;2.95907;0
13;2.97322;0
14;3.02995;0
15;2.94405;0
16;3.04675;0
17;3.02657;0
18;2.97315;0
19;2.99647;0
20;2.99327;0
21;3.01783;0
22;2.94742;0
23;3.04273;0
24;3.04897;0
25;2.99307;0
26;2.82438;0
27;3.01887;1
28;3.14138;1
29;2.99708;0
30;2.78105;1
31;3.12597;0
32;3.10332;0
33;2.93207;0
34;2.88123;0
35;3.12962;0
36;3.07167;0
37;2.89495;0
38;3.10812;0
39;2.99283;0
40;2.8991;0
41;3.10745;0
42;2.97253;1
43;3.00773;0
44;3.0069;0
45;3.0077;0
46;2.98385;1
47;3.00652;0
48;2.99865;0
49;2.97565;1
50;3.02635;0
51;2.88377;1
52;3.01498;0
53;3.09963;0
54;2.95832;0
55;2.89782;0
56;3.1382;0
57;2.98503;1
58;3.03717;1
59;2.71747;0
60;3.2251;0
61;3.00882;0
62;3.02003;0
63;2.87737;0
64;3.11388;0
65;3.01517;0
66;2.89037;2
67;3.0707;0
68;3.05187;0
69;2.94428;0
70;3.046;0
71;3.0059;0
72;3.00363;0
73;2.9826;0
74;2.98955;0
75;3.00822;0
76;2.89207;1
77;3.09252;0
78;2.97732;0
79;3.01395;2
80;3.02695;1
81;2.92007;0
82;3.02065;0
83;3.05868;0
84;3.01747;1
85;2.99458;0
86;2.77805;0
87;3.1648;1
88;3.02787;0
89;3.03183;0
90;2.99895;1
91;2.95047;0
92;2.93442;0
93;3.0663;0
94;3.05605;0
95;3.0056;0
96;2.96667;0
97;3.0002;0
98;2.7654;0
99;3.24145;0
100;3.01675;0
101;2.96083;0
102;2.97273;0
103;3.0585;0
104;2.9129;0
105;3.08273;0
106;3.00248;0
107;3.01015;0
108;2.94298;0
109;2.9222;0
110;3.06442;0
111;3.03328;0
112;3.03957;1
113;2.89287;0
114;3.08585;0
115;3.00323;1
116;2.72403;1
117;3.23882;0
118;3.00668;0
119;3.05283;0
120;2.93515;2
121;3.02318;1
122;3.02672;0
123;3.01373;0
124;2.90405;1
125;2.95818;1
126;3.10705;0
127;2.94097;0
128;3.09325;1
129;2.87877;1
130;3.12035;0
131;2.86165;1
132;3.07002;0
133;3.04678;0
134;2.97183;0
135;2.89078;0
136;3.0036;0
137;3.11368;0
138;3.00503;0
139;3.0393;0
140;2.99057;0
141;2.9012;0
142;3.06397;1
143;3.03785;0
144;2.95138;0
145;3.03008;1
146;2.99177;0
147;3.01748;0
148;2.99328;0
149;2.9512;0
150;2.89948;0
151;2.79783;0
152;3.3497;0
153;2.93353;0
154;3.0359;0
155;2.98785;0
156;3.0391;0
157;3.02375;1
158;2.73343;0
159;3.25253;0
160;2.98098;0
161;2.84368;0
162;3.00325;0
163;3.14693;2
164;2.90063;0
165;2.95032;0
166;3.17547;0
167;3.01522;0
168;2.86952;0
169;2.96595;0
170;3.1397;0
171;3.00563;0
172;3.01413;0
173;2.96547;0
174;2.95007;0
175;3.0262;0
176;3.05513;0
177;2.8252;0
178;3.13863;0
179;2.98167;0
180;3.06443;0
