26622;111110;1;1
26774;011111;1;1
27636;111110;1;1
30103;011111;1;1
32097;111110;1;1
45848;011111;1;1
46759;111110;1;1
55600;011111;1;1
60913;011111;1;1
65447;011111;1;1
77715;111110;1;1
81798;111110;1;1
99299;011111;1;1
110555;011111;1;1
117952;111110;1;1
118378;111111;1;1
121501;111111;1;1
121588;111110;1;1
122780;011111;1;1
123594;011111;1;1
123691;011111;1;1
124590;011111;1;1
125773;011111;1;1
128412;111110;1;1
134725;011111;1;1
139213;011111;1;1
141024;111110;1;1
147649;111110;1;1
153511;111110;1;1
153562;111110;1;1
155632;011111;1;1
157592;011111;1;1
160280;011111;1;1
161053;111110;1;1
162597;111110;1;1
164774;011111;1;1
168295;111110;1;1
170344;111110;1;1
170798;111110;1;1
171120;111110;1;1
172144;011111;1;1
176057;011111;1;1
184261;111110;1;1
193988;111110;1;1
195282;011111;1;1
206881;111110;1;2
230718;011111;1;2
232482;111110;1;2
233027;011111;1;2
234289;011111;1;2
238299;011111;1;2
240599;011111;1;2
249423;011111;1;2
254441;111111;1;2
257468;011111;1;2
259971;111111;1;2
267429;011111;1;2
277586;011111;1;2
280721;111110;1;2
302173;011111;1;2
307066;111110;1;2
310961;111111;1;2
318845;111110;1;2
324987;011111;1;2
325516;111110;1;2
326694;011111;1;2
327056;011111;1;2
335399;111110;1;2
337690;011111;1;2
340431;111110;1;2
361715;111110;1;2
362782;011111;1;2
364674;111110;1;2
373282;111110;1;2
373398;111110;1;2
374168;111110;1;2
377232;111110;1;2
377335;111110;1;2
379301;011111;1;2
379612;111110;1;2
380515;111110;1;2
382310;011111;1;2
382425;011111;1;2
383401;111111;1;2
385612;011111;1;2
402759;111110;1;3
403429;011111;1;3
405257;011111;1;3
406652;011111;1;3
409342;011111;1;3
409982;111110;1;3
412361;111110;1;3
414598;111110;1;3
421122;011111;1;3
423790;111110;1;3
423929;011111;1;3
425723;011111;1;3
430149;111111;1;3
430183;011111;1;3
432277;111111;1;3
432825;011111;1;3
437362;111110;1;3
438901;111110;1;3
445018;011111;1;3
445218;011111;1;3
448845;011111;1;3
448892;011111;1;3
449539;111110;1;3
455139;111110;1;3
467777;011111;1;3
469047;111111;1;3
473773;111110;1;3
475502;011111;1;3
477248;111110;1;3
478875;011111;1;3
481049;111110;1;3
485446;011111;1;3
489569;111110;1;3
491725;111110;1;3
496855;011111;1;3
498399;011111;1;3
499547;111110;1;3
500903;111110;1;3
500994;111110;1;3
509674;111110;1;3
510050;111110;1;3
510568;011111;1;3
512001;111110;1;3
515311;111110;1;3
520260;111111;1;3
523408;011111;1;3
533474;111110;1;3
539036;111110;1;3
555376;111110;1;3
555827;111110;1;3
557267;111111;1;3
559286;011111;1;3
564167;111110;1;3
568250;111110;1;4
569758;111110;1;4
572992;111110;1;4
574564;011111;1;4
575383;111110;1;4
575834;011111;1;4
575903;011111;1;4
576059;011111;1;4
583193;111110;1;4
588533;111110;1;4
597022;011111;1;4
601055;011111;1;4
609990;111110;1;4
611718;011111;1;4
614268;011111;1;4
620018;011111;1;4
620467;111110;1;4
621243;111110;1;4
641955;011111;1;4
644654;011111;1;4
645556;011111;1;4
646236;011111;1;4
650179;011111;1;4
652149;011111;1;4
656594;111110;1;4
659948;111110;1;4
663392;011111;1;4
666956;111110;1;4
668883;111110;1;4
671505;111110;1;4
673614;111110;1;4
684412;011111;1;4
685947;111110;1;4
688817;011111;1;4
691663;011111;1;4
694163;011111;1;4
704179;011111;1;4
705565;111110;1;4
706646;011111;1;4
710325;111110;1;4
712677;111110;1;4
714520;111110;1;4
715488;111110;1;4
716871;011111;1;4
717701;111110;1;4
725832;011111;1;4
726409;011111;1;4
730556;111110;1;4
733306;111110;1;4
734206;111110;1;4
735392;111110;1;4
740101;011111;1;4
742387;111111;1;4
746798;011111;1;5
753617;011111;1;5
756745;111110;1;5
757390;011111;1;5
760358;011111;1;5
766926;111110;1;5
767497;011111;1;5
768473;011111;1;5
770818;111111;1;5
774152;111110;1;5
782143;111111;1;5
799512;011111;1;5
802269;011111;1;5
803833;011111;1;5
804405;111110;1;5
823140;111110;1;5
823439;011111;1;5
826624;111110;1;5
829749;111111;1;5
833320;011111;1;5
834562;111110;1;5
836122;111110;1;5
838192;011111;1;5
840577;111110;1;5
843031;011111;1;5
843096;011111;1;5
843169;111110;1;5
851482;111111;1;5
855172;111110;1;5
857090;111111;1;5
859905;111110;1;5
860565;011111;1;5
861460;111110;1;5
861479;111110;1;5
865069;011111;1;5
869376;111110;1;5
870012;111110;1;5
871481;011111;1;5
871770;011111;1;5
871983;111110;1;5
873174;111110;1;5
876183;011111;1;5
881830;111110;1;5
882196;111110;1;5
883861;011111;1;5
885344;111110;1;5
890259;111110;1;5
892183;011111;1;5
893932;011111;1;5
899911;111110;1;5
901208;011111;1;5
904567;011111;1;5
906669;111110;1;5
908573;011111;1;5
910881;011111;1;5
915926;111110;1;5
921276;011111;1;5
921427;111110;1;5
922801;011111;1;5
924841;111110;1;5
925973;011111;1;5
932672;111110;1;6
933869;011111;1;6
941554;111110;1;6
943021;111110;1;6
947717;011111;1;6
950200;011111;1;6
956286;011111;1;6
958220;111011;1;6
959514;111110;1;6
959918;111111;1;6
972149;111110;1;6
982962;111110;1;6
1006548;111110;1;6
1009923;011111;1;6
1013465;011111;1;6
1014029;111110;1;6
1014259;011111;1;6
1022727;011111;1;6
1025616;011111;1;6
1026975;111110;1;6
1041992;111110;1;6
1043559;111110;1;6
1046701;111110;1;6
1052286;011111;1;6
1054679;111110;1;6
1057639;111110;1;6
1058434;111110;1;6
1061001;111110;1;6
1061286;111110;1;6
1065627;111110;1;6
1066083;111110;1;6
1077131;011111;1;6
1078322;111111;1;6
1080960;111110;1;6
1089139;111110;1;6
1091366;011111;1;6
1094132;111111;1;6
1095492;011111;1;6
1105384;011111;1;6
1111515;011111;1;7
1112720;011111;1;7
1120553;011111;1;7
1123911;011111;1;7
1124393;111110;1;7
1125715;011111;1;7
1129304;011111;1;7
1129762;011111;1;7
1146588;111110;1;7
1151812;111110;1;7
1152569;011111;1;7
1157398;011111;1;7
1157859;111110;1;7
1159538;011111;1;7
