Angle;Time_Minutes;Counts_34f
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;1.3444;0
33;3.0683;1
34;2.95915;0
35;2.99828;0
36;2.99653;0
37;3.07037;1
38;2.98918;0
39;3.0002;0
40;3.01007;0
41;2.90613;0
42;2.99435;0
43;3.08387;0
44;2.99287;0
45;2.98047;0
46;2.93105;0
47;3.06393;0
48;2.96162;0
49;3.0756;0
50;2.90533;1
51;3.02915;1
52;3.04288;0
53;2.91068;0
54;3.09155;0
55;3.03147;0
56;2.95333;0
57;2.97263;0
58;3.06485;0
59;2.94778;1
60;2.94655;0
61;3.01925;0
62;3.0688;0
63;2.9546;0
64;2.9576;0
65;3.10098;0
66;2.98512;0
67;2.98202;1
68;3.01408;0
69;2.89695;0
70;3.01048;1
71;3.11647;0
72;2.99723;0
73;2.91713;0
74;3.08907;0
75;2.94153;1
76;3.04888;0
77;2.97592;0
78;2.986;0
79;2.87055;0
80;3.17123;0
81;2.9276;0
82;2.93103;0
83;3.08943;0
84;3.0204;0
85;3.01255;0
86;3.0031;0
87;2.94822;0
88;2.97993;1
89;3.08072;1
90;2.6758;0
91;3.26455;0
92;3.05755;0
93;2.92707;0
94;3.019;0
95;2.9759;0
96;3.08892;0
97;2.94695;0
98;2.89243;1
99;3.12883;0
100;3.03337;0
101;2.9728;0
102;2.82515;0
103;3.13382;0
104;2.99282;0
105;2.9362;1
106;3.12777;0
107;2.89518;0
108;3.12327;0
109;2.94028;1
110;3.05782;0
111;2.88765;0
112;3.10943;0
113;2.7995;0
114;3.07682;0
115;3.1061;0
116;2.84465;2
117;3.17045;0
118;3.00798;0
119;2.92085;1
120;3.04512;1
121;3.02547;0
122;2.88708;0
123;3.11237;0
124;2.93623;0
125;3.04562;0
126;3.0152;0
127;2.94527;1
128;3.05743;1
129;2.76635;0
130;3.20815;1
131;3.02227;1
132;2.99242;0
133;2.86785;0
134;3.11925;0
135;2.97565;0
136;2.97307;0
137;3.05727;1
138;3.00812;0
139;2.98737;0
140;3.0276;0
141;2.99015;1
142;2.9436;1
143;2.97242;0
144;2.96808;0
145;3.0921;0
146;3.00133;0
147;3.03022;0
148;2.84362;0
149;3.15058;1
150;2.9749;0
151;2.98528;0
152;2.99117;1
153;2.98933;1
154;2.93368;0
155;3.10837;1
156;2.86403;0
157;3.16207;1
158;2.97002;0
159;2.94892;0
160;3.01358;0
161;3.05418;0
162;2.9243;0
163;2.97148;1
164;3.09463;0
165;3.0112;0
166;2.98148;0
167;2.95888;0
168;3.06472;1
169;3.00162;1
170;2.98515;0
171;3.0178;0
172;2.92367;0
173;3.01255;1
174;3.03378;0
175;2.94902;0
176;2.98733;0
177;3.0602;0
178;3.03487;0
179;2.82127;0
180;3.1827;0
