Radius_m Chi2 DF Reduced_Chi2 P_Value
1.0000 81.37 35 2.3249 1.474555e-05
2.0000 81.14 35 2.3183 1.581572e-05
3.0000 80.78 35 2.3081 1.763816e-05
4.0000 80.36 35 2.2960 2.005463e-05
5.0000 79.90 35 2.2828 2.303514e-05
6.0000 79.42 35 2.2692 2.657769e-05
7.0000 78.94 35 2.2555 3.069063e-05
8.0000 78.47 35 2.2419 3.538998e-05
9.0000 78.00 35 2.2285 4.069766e-05
10.0000 77.54 35 2.2153 4.663917e-05
11.0000 77.09 35 2.2025 5.324106e-05
12.0000 76.65 35 2.1900 6.052847e-05
13.0000 76.23 35 2.1779 6.852293e-05
14.0000 75.82 35 2.1662 7.724043e-05
15.0000 75.42 35 2.1548 8.668988e-05
16.0000 75.04 35 2.1439 9.687195e-05
17.0000 74.67 35 2.1333 1.077783e-04
18.0000 74.31 35 2.1232 1.193910e-04
19.0000 73.97 35 2.1134 1.316827e-04
20.0000 73.64 35 2.1040 1.446166e-04
21.0000 73.33 35 2.0951 1.581472e-04
22.0000 73.03 35 2.0865 1.722209e-04
23.0000 72.74 35 2.0783 1.867770e-04
24.0000 72.47 35 2.0705 2.017488e-04
25.0000 72.21 35 2.0631 2.170648e-04
26.0000 71.96 35 2.0561 2.326501e-04
27.0000 71.73 35 2.0494 2.484275e-04
28.0000 71.51 35 2.0431 2.643185e-04
29.0000 71.30 35 2.0371 2.802452e-04
30.0000 71.10 35 2.0314 2.961307e-04
31.0000 70.91 35 2.0261 3.119003e-04
32.0000 70.74 35 2.0211 3.274825e-04
33.0000 70.57 35 2.0163 3.428097e-04
34.0000 70.42 35 2.0119 3.578184e-04
35.0000 70.27 35 2.0078 3.724505e-04
36.0000 70.14 35 2.0039 3.866527e-04
37.0000 70.01 35 2.0003 4.003773e-04
38.0000 69.89 35 1.9969 4.135824e-04
39.0000 69.78 35 1.9938 4.262314e-04
40.0000 69.68 35 1.9909 4.382935e-04
41.0000 69.59 35 1.9882 4.497432e-04
42.0000 69.50 35 1.9857 4.605602e-04
43.0000 69.42 35 1.9834 4.707293e-04
44.0000 69.35 35 1.9813 4.802398e-04
45.0000 69.28 35 1.9794 4.890857e-04
46.0000 69.22 35 1.9777 4.972648e-04
47.0000 69.16 35 1.9761 5.047787e-04
48.0000 69.11 35 1.9747 5.116324e-04
49.0000 69.07 35 1.9734 5.178339e-04
50.0000 69.03 35 1.9723 5.233940e-04
51.0000 69.00 35 1.9713 5.283256e-04
52.0000 68.97 35 1.9705 5.326439e-04
53.0000 68.94 35 1.9697 5.363659e-04
54.0000 68.92 35 1.9691 5.395099e-04
55.0000 68.90 35 1.9686 5.420954e-04
56.0000 68.89 35 1.9682 5.441431e-04
57.0000 68.88 35 1.9679 5.456741e-04
58.0000 68.87 35 1.9677 5.467104e-04
59.0000 68.87 35 1.9676 5.472742e-04
60.0000 68.87 35 1.9676 5.473878e-04
61.0000 68.87 35 1.9677 5.470736e-04
62.0000 68.87 35 1.9678 5.463540e-04
63.0000 68.88 35 1.9680 5.452512e-04
64.0000 68.89 35 1.9683 5.437870e-04
65.0000 68.90 35 1.9686 5.419828e-04
66.0000 68.92 35 1.9691 5.398597e-04
67.0000 68.93 35 1.9695 5.374381e-04
68.0000 68.95 35 1.9701 5.347379e-04
69.0000 68.97 35 1.9706 5.317783e-04
70.0000 68.99 35 1.9713 5.285781e-04
71.0000 69.02 35 1.9720 5.251552e-04
72.0000 69.04 35 1.9727 5.215269e-04
73.0000 69.07 35 1.9735 5.177097e-04
74.0000 69.10 35 1.9743 5.137195e-04
75.0000 69.13 35 1.9751 5.095715e-04
76.0000 69.16 35 1.9760 5.052801e-04
77.0000 69.19 35 1.9769 5.008592e-04
78.0000 69.23 35 1.9779 4.963217e-04
79.0000 69.26 35 1.9789 4.916802e-04
80.0000 69.30 35 1.9799 4.869464e-04
81.0000 69.33 35 1.9809 4.821314e-04
82.0000 69.37 35 1.9820 4.772456e-04
83.0000 69.41 35 1.9831 4.722991e-04
84.0000 69.45 35 1.9842 4.673011e-04
85.0000 69.49 35 1.9853 4.622604e-04
86.0000 69.53 35 1.9865 4.571852e-04
87.0000 69.57 35 1.9876 4.520831e-04
88.0000 69.61 35 1.9888 4.469615e-04
89.0000 69.65 35 1.9900 4.418270e-04
90.0000 69.69 35 1.9912 4.366859e-04
91.0000 69.74 35 1.9925 4.315441e-04
92.0000 69.78 35 1.9937 4.264069e-04
93.0000 69.82 35 1.9950 4.212795e-04
94.0000 69.87 35 1.9963 4.161665e-04
95.0000 69.91 35 1.9975 4.110722e-04
96.0000 69.96 35 1.9988 4.060006e-04
97.0000 70.00 35 2.0001 4.009554e-04
98.0000 70.05 35 2.0014 3.959400e-04
99.0000 70.10 35 2.0027 3.909573e-04
100.0000 70.14 35 2.0041 3.860104e-04
