Angle;Time_h;Substraction;Significance
1;41.6667;-0.0130062;-0.0325154
6;41.6667;-0.0128941;-0.0322352
11;41.6667;-0.0128341;-0.0320853
16;41.6667;-0.0127654;-0.0319134
21;41.6667;-0.0126727;-0.0316817
26;41.6667;-0.0126041;-0.0315102
31;41.6667;-0.0125553;-0.0313882
36;41.6667;-0.0123814;-0.0309534
41;41.6667;-0.00493294;-0.0123323
46;41.6667;0.0264934;0.0662335
51;41.6667;0.0798045;0.199511
56;41.6667;0.116629;0.291573
61;41.6667;0.103087;0.257718
66;41.6667;0.0520892;0.130223
71;41.6667;0.00676908;0.0169227
76;41.6667;-0.0112741;-0.0281853
81;41.6667;-0.0130578;-0.0326445
86;41.6667;-0.0131117;-0.0327791
91;41.6667;-0.0131076;-0.0327691
96;41.6667;-0.0130607;-0.0326518
101;41.6667;-0.013053;-0.0326326
106;41.6667;-0.0131582;-0.0328956
111;41.6667;-0.0133121;-0.0332801
116;41.6667;-0.0134363;-0.0335908
121;41.6667;-0.0135582;-0.0338956
126;41.6667;-0.0136792;-0.034198
131;41.6667;-0.0136414;-0.0341034
136;41.6667;-0.0134181;-0.0335452
141;41.6667;-0.0132453;-0.0331132
146;41.6667;-0.0133047;-0.0332617
151;41.6667;-0.0135083;-0.0337708
156;41.6667;-0.0136415;-0.0341036
161;41.6667;-0.0136313;-0.0340782
166;41.6667;-0.0135048;-0.033762
171;41.6667;-0.0133484;-0.033371
176;41.6667;-0.0131738;-0.0329344
