Angle;Time_h;Substraction;Significance
1;41.6667;-0.0194519;-0.0486298
6;41.6667;-0.0194711;-0.0486778
11;41.6667;-0.0194921;-0.0487301
16;41.6667;-0.0195126;-0.0487816
21;41.6667;-0.0195641;-0.0489101
26;41.6667;-0.0196989;-0.0492472
31;41.6667;-0.0199302;-0.0498256
36;41.6667;-0.0201779;-0.0504447
41;41.6667;-0.0203292;-0.0508231
46;41.6667;-0.020381;-0.0509525
51;41.6667;-0.0203793;-0.0509483
56;41.6667;-0.0203132;-0.0507829
61;41.6667;-0.0201701;-0.0504251
66;41.6667;-0.0175098;-0.0437746
71;41.6667;0.00168216;0.0042054
76;41.6667;0.0457752;0.114438
81;41.6667;0.0957605;0.239401
86;41.6667;0.125343;0.313357
91;41.6667;0.127817;0.319543
96;41.6667;0.103627;0.259068
101;41.6667;0.0560472;0.140118
106;41.6667;0.00796992;0.0199248
111;41.6667;-0.0163732;-0.0409329
116;41.6667;-0.0213333;-0.0533333
121;41.6667;-0.0217631;-0.0544076
126;41.6667;-0.0219227;-0.0548068
131;41.6667;-0.0219246;-0.0548116
136;41.6667;-0.0218793;-0.0546983
141;41.6667;-0.0216819;-0.0542047
146;41.6667;-0.0212558;-0.0531395
151;41.6667;-0.0207514;-0.0518786
156;41.6667;-0.02027;-0.0506751
161;41.6667;-0.0198804;-0.049701
166;41.6667;-0.0196389;-0.0490973
171;41.6667;-0.0195092;-0.0487731
176;41.6667;-0.0194569;-0.0486422
