# Detailed bin-by-bin Chi2 analysis for best bin size
# Radius: 30.0 m | Best bin size: 18 deg | Chi2: 12.8848 | DF: 9 | Red.Chi2: 1.4316 | P-value: 1.678876e-01
#
Bin      Angle_from Angle_to   Observed_O   Theory_E     O_minus_E    Chi2_contrib
0        1          18         863          876.47       -13.47       0.2069    
1        19         36         877          912.45       -35.45       1.3774    
2        37         54         963          940.42       +22.58       0.5421    
3        55         72         927          934.90       -7.90        0.0668    
4        73         90         956          923.06       +32.94       1.1756    
5        91         108        843          918.58       -75.58       6.2180    
6        109        126        949          933.47       +15.53       0.2584    
7        127        144        987          978.01       +8.99        0.0826    
8        145        162        995          942.22       +52.78       2.9569    
9        163        180        873          873.42       -0.42        0.0002    
#
# TOTAL Chi2 = 12.8848
