# Detailed bin-by-bin Chi2 analysis for best bin size
# Radius: 30.0 m | Best bin size: 1 deg | Chi2: 327.7530 | DF: 179 | Red.Chi2: 1.8310 | P-value: 7.990774e-11
#
Bin      Angle_from Angle_to   Observed_O   Theory_E     O_minus_E    Chi2_contrib
0        1          1          20           27.55        -7.55        2.0704    
1        2          2          44           43.06        +0.94        0.0205    
2        3          3          48           50.38        -2.38        0.1123    
3        4          4          29           50.30        -21.30       9.0168    
4        5          5          41           50.08        -9.08        1.6467    
5        6          6          54           50.33        +3.67        0.2671    
6        7          7          44           50.24        -6.24        0.7754    
7        8          8          65           50.33        +14.67       4.2789    
8        9          9          57           50.29        +6.71        0.8955    
9        10         10         53           50.39        +2.61        0.1349    
10       11         11         44           50.33        -6.33        0.7972    
11       12         12         29           50.49        -21.49       9.1469    
12       13         13         60           50.23        +9.77        1.9018    
13       14         14         53           50.55        +2.45        0.1190    
14       15         15         62           50.58        +11.42       2.5788    
15       16         16         62           50.41        +11.59       2.6633    
16       17         17         48           50.47        -2.47        0.1207    
17       18         18         50           50.46        -0.46        0.0041    
18       19         19         48           50.34        -2.34        0.1092    
19       20         20         46           50.39        -4.39        0.3818    
20       21         21         56           50.23        +5.77        0.6633    
21       22         22         43           50.04        -7.04        0.9896    
22       23         23         67           50.19        +16.81       5.6275    
23       24         24         42           50.43        -8.43        1.4100    
24       25         25         43           50.25        -7.25        1.0467    
25       26         26         55           50.46        +4.54        0.4086    
26       27         27         46           50.52        -4.52        0.4036    
27       28         28         37           50.51        -13.51       3.6151    
28       29         29         41           50.65        -9.65        1.8390    
29       30         30         61           50.90        +10.10       2.0030    
30       31         31         47           50.77        -3.77        0.2804    
31       32         32         35           51.13        -16.13       5.0861    
32       33         33         50           51.36        -1.36        0.0360    
33       34         34         64           51.28        +12.72       3.1530    
34       35         35         43           51.65        -8.65        1.4491    
35       36         36         53           51.34        +1.66        0.0535    
36       37         37         47           51.99        -4.99        0.4784    
37       38         38         43           51.77        -8.77        1.4858    
38       39         39         45           51.92        -6.92        0.9216    
39       40         40         61           52.12        +8.88        1.5123    
40       41         41         45           51.95        -6.95        0.9286    
41       42         42         66           52.36        +13.64       3.5507    
42       43         43         60           52.25        +7.75        1.1484    
43       44         44         45           52.24        -7.24        1.0026    
44       45         45         78           52.17        +25.83       12.7834   
45       46         46         51           52.40        -1.40        0.0372    
46       47         47         66           52.51        +13.49       3.4644    
47       48         48         65           52.11        +12.89       3.1860    
48       49         49         49           52.52        -3.52        0.2357    
49       50         50         52           52.40        -0.40        0.0030    
50       51         51         47           52.45        -5.45        0.5654    
51       52         52         41           52.48        -11.48       2.5096    
52       53         53         42           52.35        -10.35       2.0448    
53       54         54         60           52.45        +7.55        1.0881    
54       55         55         54           52.12        +1.88        0.0679    
55       56         56         38           52.32        -14.32       3.9178    
56       57         57         52           52.26        -0.26        0.0013    
57       58         58         49           52.17        -3.17        0.1930    
58       59         59         61           52.20        +8.80        1.4836    
59       60         60         43           52.05        -9.05        1.5722    
60       61         61         58           51.89        +6.11        0.7201    
61       62         62         46           52.01        -6.01        0.6935    
62       63         63         51           52.19        -1.19        0.0272    
63       64         64         73           51.83        +21.17       8.6450    
64       65         65         44           51.88        -7.88        1.1966    
65       66         66         46           51.86        -5.86        0.6630    
66       67         67         55           51.76        +3.24        0.2024    
67       68         68         45           51.81        -6.81        0.8951    
68       69         69         43           51.57        -8.57        1.4238    
69       70         70         49           51.75        -2.75        0.1465    
70       71         71         70           51.58        +18.42       6.5748    
71       72         72         50           51.65        -1.65        0.0525    
72       73         73         43           51.55        -8.55        1.4176    
73       74         74         51           51.51        -0.51        0.0050    
74       75         75         49           51.43        -2.43        0.1147    
75       76         76         53           51.67        +1.33        0.0343    
76       77         77         51           51.23        -0.23        0.0010    
77       78         78         61           51.66        +9.34        1.6894    
78       79         79         69           51.67        +17.33       5.8137    
79       80         80         62           51.28        +10.72       2.2420    
80       81         81         67           51.61        +15.39       4.5887    
81       82         82         53           51.07        +1.93        0.0731    
82       83         83         43           50.89        -7.89        1.2230    
83       84         84         59           50.99        +8.01        1.2585    
84       85         85         40           51.32        -11.32       2.4963    
85       86         86         64           50.83        +13.17       3.4106    
86       87         87         45           51.26        -6.26        0.7656    
87       88         88         56           50.97        +5.03        0.4959    
88       89         89         43           51.25        -8.25        1.3289    
89       90         90         47           50.87        -3.87        0.2950    
90       91         91         46           51.16        -5.16        0.5210    
91       92         92         38           50.96        -12.96       3.2975    
92       93         93         45           50.99        -5.99        0.7036    
93       94         94         49           51.06        -2.06        0.0834    
94       95         95         55           51.09        +3.91        0.2989    
95       96         96         39           51.08        -12.08       2.8565    
96       97         97         59           50.96        +8.04        1.2682    
97       98         98         67           50.58        +16.42       5.3320    
98       99         99         61           51.23        +9.77        1.8628    
99       100        100        37           51.13        -14.13       3.9040    
100      101        101        37           50.93        -13.93       3.8097    
101      102        102        40           50.92        -10.92       2.3425    
102      103        103        41           50.97        -9.97        1.9510    
103      104        104        43           50.93        -7.93        1.2358    
104      105        105        37           51.05        -14.05       3.8649    
105      106        106        56           51.07        +4.93        0.4759    
106      107        107        50           51.19        -1.19        0.0275    
107      108        108        43           51.27        -8.27        1.3331    
108      109        109        33           51.18        -18.18       6.4591    
109      110        110        57           51.10        +5.90        0.6815    
110      111        111        46           51.36        -5.36        0.5585    
111      112        112        41           51.28        -10.28       2.0597    
112      113        113        50           51.50        -1.50        0.0437    
113      114        114        58           51.62        +6.38        0.7888    
114      115        115        51           51.72        -0.72        0.0102    
115      116        116        49           52.02        -3.02        0.1754    
116      117        117        37           51.85        -14.85       4.2542    
117      118        118        49           52.08        -3.08        0.1825    
118      119        119        44           52.31        -8.31        1.3194    
119      120        120        53           52.45        +0.55        0.0057    
120      121        121        65           52.17        +12.83       3.1535    
121      122        122        84           52.21        +31.79       19.3540   
122      123        123        55           52.14        +2.86        0.1573    
123      124        124        42           52.15        -10.15       1.9760    
124      125        125        68           52.12        +15.88       4.8419    
125      126        126        67           52.21        +14.79       4.1898    
126      127        127        50           52.43        -2.43        0.1123    
127      128        128        38           52.44        -14.44       3.9751    
128      129        129        43           52.64        -9.64        1.7656    
129      130        130        57           52.69        +4.31        0.3520    
130      131        131        65           52.52        +12.48       2.9657    
131      132        132        81           80.41        +0.59        0.0043    
132      133        133        41           52.80        -11.80       2.6364    
133      134        134        51           52.89        -1.89        0.0673    
134      135        135        60           52.91        +7.09        0.9487    
135      136        136        53           52.63        +0.37        0.0026    
136      137        137        60           52.83        +7.17        0.9731    
137      138        138        69           52.79        +16.21       4.9744    
138      139        139        43           52.77        -9.77        1.8104    
139      140        140        55           52.72        +2.28        0.0985    
140      141        141        44           52.86        -8.86        1.4836    
141      142        142        48           53.32        -5.32        0.5300    
142      143        143        70           53.21        +16.79       5.2991    
143      144        144        59           53.15        +5.85        0.6430    
144      145        145        43           53.33        -10.33       2.0000    
145      146        146        51           53.05        -2.05        0.0793    
146      147        147        56           53.21        +2.79        0.1460    
147      148        148        59           52.91        +6.09        0.7018    
148      149        149        64           52.90        +11.10       2.3298    
149      150        150        44           52.92        -8.92        1.5050    
150      151        151        61           52.76        +8.24        1.2858    
151      152        152        63           52.79        +10.21       1.9760    
152      153        153        62           52.52        +9.48        1.7128    
153      154        154        47           52.59        -5.59        0.5938    
154      155        155        63           52.32        +10.68       2.1809    
155      156        156        57           51.82        +5.18        0.5183    
156      157        157        43           52.13        -9.13        1.5997    
157      158        158        35           51.55        -16.55       5.3137    
158      159        159        67           51.74        +15.26       4.4994    
159      160        160        54           51.26        +2.74        0.1466    
160      161        161        65           51.34        +13.66       3.6368    
161      162        162        61           51.09        +9.91        1.9235    
162      163        163        56           51.09        +4.91        0.4718    
163      164        164        66           50.76        +15.24       4.5772    
164      165        165        41           50.72        -9.72        1.8621    
165      166        166        48           50.53        -2.53        0.1263    
166      167        167        52           50.43        +1.57        0.0491    
167      168        168        51           50.46        +0.54        0.0059    
168      169        169        54           49.88        +4.12        0.3405    
169      170        170        42           50.35        -8.35        1.3837    
170      171        171        67           50.08        +16.92       5.7179    
171      172        172        53           50.12        +2.88        0.1653    
172      173        173        50           49.64        +0.36        0.0025    
173      174        174        40           50.46        -10.46       2.1690    
174      175        175        40           50.27        -10.27       2.0968    
175      176        176        61           49.93        +11.07       2.4549    
176      177        177        45           50.09        -5.09        0.5169    
177      178        178        41           49.68        -8.68        1.5152    
178      179        179        39           42.72        -3.72        0.3236    
179      180        180        27           26.24        +0.76        0.0221    
#
# TOTAL Chi2 = 327.7530
