# Detailed bin-by-bin Chi2 analysis for best bin size
# Radius: 30.0 m | Best bin size: 5 deg | Chi2: 68.8181 | DF: 35 | Red.Chi2: 1.9662 | P-value: 5.545325e-04
#
Bin      Angle_from Angle_to   Observed_O   Theory_E     O_minus_E    Chi2_contrib
0        1          5          182          221.37       -39.37       7.0016    
1        6          10         273          251.58       +21.42       1.8233    
2        11         15         248          252.18       -4.18        0.0692    
3        16         20         254          252.07       +1.93        0.0148    
4        21         25         251          251.14       -0.14        0.0001    
5        26         30         240          253.04       -13.04       0.6722    
6        31         35         239          256.19       -17.19       1.1538    
7        36         40         249          259.14       -10.14       0.3966    
8        41         45         294          260.97       +33.03       4.1794    
9        46         50         283          261.94       +21.06       1.6934    
10       51         55         244          261.83       -17.83       1.2144    
11       56         60         243          261.00       -18.00       1.2414    
12       61         65         272          259.79       +12.21       0.5734    
13       66         70         238          258.76       -20.76       1.6654    
14       71         75         263          257.71       +5.29        0.1084    
15       76         80         296          257.50       +38.50       5.7556    
16       81         85         262          255.87       +6.13        0.1466    
17       86         90         255          255.20       -0.20        0.0002    
18       91         95         233          255.27       -22.27       1.9432    
19       96         100        263          254.98       +8.02        0.2524    
20       101        105        198          254.80       -56.80       12.6630   
21       106        110        239          255.80       -16.80       1.1039    
22       111        115        246          257.48       -11.48       0.5115    
23       116        120        232          260.71       -28.71       3.1626    
24       121        125        314          260.79       +53.21       10.8577   
25       126        130        255          262.41       -7.41        0.2091    
26       131        135        298          291.53       +6.47        0.1436    
27       136        140        280          263.75       +16.25       1.0007    
28       141        145        264          265.86       -1.86        0.0130    
29       146        150        274          264.99       +9.01        0.3062    
30       151        155        296          262.97       +33.03       4.1481    
31       156        160        256          258.50       -2.50        0.0242    
32       161        165        289          254.99       +34.01       4.5363    
33       166        170        247          251.63       -4.63        0.0854    
34       171        175        250          250.57       -0.57        0.0013    
35       176        180        213          218.65       -5.65        0.1459    
#
# TOTAL Chi2 = 68.8181
