Height_m Chi2 DF P_Value
0.0000 80.92 35 1.690271e-05
0.1000 79.84 35 2.347489e-05
0.2000 78.58 35 3.419864e-05
0.3000 77.28 35 5.029402e-05
0.4000 76.14 35 7.030690e-05
0.5000 75.12 35 9.453014e-05
0.6000 74.19 35 1.234510e-04
0.7000 73.35 35 1.570262e-04
0.8000 72.55 35 1.971988e-04
0.9000 71.78 35 2.451293e-04
1.0000 71.04 35 3.007867e-04
1.1000 70.38 35 3.613336e-04
1.2000 69.79 35 4.251297e-04
1.3000 69.28 35 4.895893e-04
1.4000 68.83 35 5.533567e-04
1.5000 68.44 35 6.140511e-04
1.6000 68.13 35 6.675306e-04
1.7000 67.89 35 7.129368e-04
1.8000 67.70 35 7.500032e-04
1.9000 67.56 35 7.775929e-04
2.0000 67.48 35 7.958236e-04
2.1000 67.43 35 8.051093e-04
2.2000 67.43 35 8.056927e-04
2.3000 67.46 35 7.986241e-04
2.4000 67.53 35 7.843343e-04
2.5000 67.63 35 7.639668e-04
2.6000 67.75 35 7.391965e-04
2.7000 67.90 35 7.104148e-04
2.8000 68.07 35 6.784603e-04
2.9000 68.27 35 6.439118e-04
3.0000 68.48 35 6.072693e-04
3.1000 68.72 35 5.693183e-04
3.2000 68.98 35 5.302599e-04
3.3000 69.27 35 4.908902e-04
3.4000 69.57 35 4.517046e-04
3.5000 69.89 35 4.140414e-04
3.6000 70.23 35 3.772778e-04
3.7000 70.58 35 3.423960e-04
3.8000 70.94 35 3.094128e-04
3.9000 71.32 35 2.783843e-04
4.0000 71.71 35 2.496013e-04
4.1000 72.11 35 2.229676e-04
4.2000 72.52 35 1.988186e-04
4.3000 72.94 35 1.766756e-04
4.4000 73.36 35 1.567597e-04
4.5000 73.78 35 1.390155e-04
4.6000 74.20 35 1.232021e-04
4.7000 74.62 35 1.091158e-04
4.8000 75.04 35 9.673565e-05
4.9000 75.45 35 8.581485e-05
5.0000 75.87 35 7.615032e-05
5.1000 76.26 35 6.777071e-05
5.2000 76.66 35 6.043278e-05
