Height_m Chi2 DF P_Value
0.0000 81.11 35 1.597915e-05
0.1000 80.21 35 2.096150e-05
0.2000 79.19 35 2.850686e-05
0.3000 78.09 35 3.959275e-05
0.4000 77.12 35 5.268080e-05
0.5000 76.26 35 6.794257e-05
0.6000 75.46 35 8.566915e-05
0.7000 74.74 35 1.056724e-04
0.8000 74.04 35 1.291150e-04
0.9000 73.36 35 1.565639e-04
1.0000 72.72 35 1.879397e-04
1.1000 72.13 35 2.217712e-04
1.2000 71.60 35 2.574200e-04
1.3000 71.13 35 2.937506e-04
1.4000 70.71 35 3.303276e-04
1.5000 70.33 35 3.662245e-04
1.6000 70.02 35 3.996278e-04
1.7000 69.74 35 4.305880e-04
1.8000 69.51 35 4.590526e-04
1.9000 69.31 35 4.847613e-04
2.0000 69.14 35 5.077893e-04
2.1000 69.00 35 5.281443e-04
2.2000 68.87 35 5.460862e-04
2.3000 68.77 35 5.616465e-04
2.4000 68.68 35 5.753323e-04
2.5000 68.61 35 5.871391e-04
2.6000 68.54 35 5.975113e-04
2.7000 68.49 35 6.066311e-04
2.8000 68.44 35 6.146527e-04
2.9000 68.40 35 6.214964e-04
3.0000 68.36 35 6.271524e-04
3.1000 68.34 35 6.315335e-04
3.2000 68.32 35 6.345444e-04
3.3000 68.31 35 6.361877e-04
3.4000 68.31 35 6.365633e-04
3.5000 68.31 35 6.359226e-04
3.6000 68.32 35 6.341882e-04
3.7000 68.34 35 6.313643e-04
3.8000 68.36 35 6.276090e-04
3.9000 68.39 35 6.229045e-04
4.0000 68.42 35 6.173879e-04
4.1000 68.46 35 6.110015e-04
4.2000 68.50 35 6.040298e-04
4.3000 68.55 35 5.964274e-04
4.4000 68.60 35 5.884425e-04
4.5000 68.65 35 5.801866e-04
4.6000 68.71 35 5.717794e-04
4.7000 68.76 35 5.632738e-04
4.8000 68.82 35 5.548175e-04
4.9000 68.87 35 5.463908e-04
5.0000 68.93 35 5.380149e-04
5.1000 68.99 35 5.298924e-04
5.2000 69.04 35 5.219470e-04
