Angle;Time_Minutes;Counts_34f
0;0;0
1;0;0
2;1.87857;0
3;3.12838;0
4;3.0519;0
5;3.1065;0
6;2.99212;1
7;2.8643;0
8;3.18218;1
9;2.96787;1
10;3.0426;0
11;2.80672;0
12;3.20325;0
13;2.9838;0
14;2.92813;0
15;2.65552;0
16;3.03878;0
17;3.10068;0
18;2.98207;0
19;3.18238;0
20;3.07807;0
21;3.04378;0
22;2.9608;0
23;3.06122;0
24;3.00042;0
25;2.8315;0
26;3.06515;0
27;2.64175;0
28;3.4252;0
29;2.87535;0
30;3.10712;0
31;2.77088;0
32;3.24887;0
33;2.9458;0
34;3.06172;0
35;3.00468;0
36;2.98328;0
37;2.98795;0
38;3.00968;0
39;2.95678;0
40;3.044;0
41;2.58077;0
42;3.26837;0
43;3.17423;0
44;3.01022;0
45;3.00563;0
46;2.97542;0
47;2.87992;0
48;3.03845;0
49;3.1042;0
50;2.92632;0
51;2.94697;0
52;3.10343;0
53;2.9463;0
54;3.0025;0
55;2.87282;0
56;3.15677;0
57;3.01897;0
58;2.82938;0
59;2.75372;0
60;3.17813;0
61;3.20442;0
62;2.78848;0
63;3.26303;1
64;2.75942;0
65;3.16627;0
66;3.01733;0
67;3.06497;0
68;2.7535;0
69;3.13428;0
70;3.1002;0
71;3.00325;0
72;2.59935;0
73;3.36567;1
74;3.01928;0
75;2.6273;0
76;3.17688;0
77;3.2105;0
78;2.94205;0
79;2.76907;0
80;3.23205;0
81;3.01607;0
82;3.00938;0
83;2.94603;0
84;2.98977;0
85;2.97983;0
86;2.46357;1
87;3.6021;0
88;2.80538;0
89;3.12297;0
90;2.9513;0
91;3.1275;0
92;2.68743;0
93;3.29062;0
94;2.95493;0
95;3.0955;1
96;2.99097;1
97;2.84892;0
98;3.09712;0
99;3.08937;0
100;2.93623;0
101;3.04703;0
102;2.9292;0
103;3.0161;0
104;3.00052;0
105;2.95305;0
106;3.01893;0
107;2.94755;0
108;3.0426;0
109;3.04567;0
110;3.02463;0
111;2.82818;0
112;3.19215;0
113;3.01405;0
114;3.00075;1
115;2.80563;0
116;3.19782;0
117;2.94745;0
118;2.9708;0
119;2.866;0
120;3.03945;0
121;3.10222;0
122;2.6157;0
123;3.34882;0
124;2.9561;0
125;3.1463;0
126;2.81007;0
127;3.15825;0
128;2.99768;0
129;2.92298;0
130;3.02122;0
131;3.05468;0
132;3.01868;0
133;2.70183;0
134;3.16977;0
135;3.11765;0
136;3.00963;0
137;2.94593;0
138;2.81785;0
139;3.23045;0
140;2.91387;0
141;3.01725;0
142;2.94975;0
143;2.76797;0
144;3.30148;0
145;2.99015;0
146;2.79577;0
147;3.06787;0
148;3.17202;0
149;3.00807;0
150;2.93962;0
151;3.04057;0
152;2.9605;1
153;2.9921;0
154;2.97387;0
155;3.08393;0
156;2.91498;0
157;2.88937;0
158;3.10753;0
159;2.89973;0
160;3.12917;0
161;2.68185;0
162;3.13068;0
163;3.25177;0
164;2.94428;0
165;3.09785;0
166;2.97418;0
167;2.8173;0
168;3.1456;0
169;2.94502;0
170;3.02063;0
171;2.731;0
172;3.22352;0
173;3.15065;0
174;2.66788;0
175;3.22282;0
176;2.92038;0
177;2.98628;0
178;3.10162;0
179;3.07322;0
180;3.03073;0
