Angle;Time_Minutes;Counts_34f
0;0;0
1;0;0
2;1.95548;1
3;2.99675;0
4;3.00607;0
5;2.84557;0
6;3.11578;0
7;3.04022;0
8;2.97483;1
9;2.88957;0
10;3.10033;0
11;3.02025;0
12;2.79;0
13;3.22113;0
14;2.99405;0
15;3.00363;0
16;3.0037;0
17;3.00575;2
18;2.86105;0
19;3.12555;1
20;3.02283;0
21;2.92527;0
22;2.98892;0
23;2.87658;0
24;3.18055;1
25;2.99188;0
26;3.02312;0
27;2.97238;0
28;2.97173;1
29;2.93082;0
30;3.07102;0
31;2.94423;0
32;3.03627;0
33;3.0809;0
34;2.9867;0
35;2.99152;0
36;2.78483;0
37;3.14535;0
38;3.01128;1
39;3.03402;0
40;3.01632;0
41;3.00475;0
42;2.99308;0
43;2.90397;0
44;3.13223;0
45;2.99585;0
46;2.99893;0
47;2.87032;0
48;3.07888;1
49;2.9711;0
50;3.03485;1
51;2.97238;0
52;3.07847;0
53;2.9346;0
54;3.06632;0
55;2.8442;0
56;3.12687;1
57;2.9039;0
58;3.00483;0
59;3.11517;0
60;2.83802;0
61;2.9771;0
62;3.19195;0
63;2.93943;0
64;3.00543;0
65;2.76597;0
66;2.97978;0
67;3.30525;0
68;2.95883;0
69;2.97187;0
70;3.06593;0
71;3.0015;0
72;2.87845;1
73;3.12792;0
74;3.00003;0
75;2.96293;1
76;3.01993;0
77;2.87207;0
78;3.13902;1
79;2.99292;1
80;2.97173;0
81;3.03737;0
82;2.88457;0
83;3.08857;0
84;2.85817;0
85;3.16922;0
86;2.9356;0
87;2.98152;1
88;2.98817;0
89;3.08468;1
90;2.95318;0
91;3.04263;0
92;2.93895;0
93;3.04682;0
94;3.01455;0
95;2.95978;0
96;2.95165;0
97;3.06393;0
98;2.99208;0
99;2.89667;1
100;3.1521;0
101;2.99257;0
102;2.91507;0
103;3.08807;0
104;2.95012;1
105;2.9243;0
106;2.85415;0
107;3.23647;0
108;2.9412;0
109;3.01118;0
110;3.07725;0
111;3.00175;1
112;2.91703;1
113;3.03748;0
114;3.03597;0
115;2.77263;0
116;3.12247;0
117;3.06927;0
118;2.85555;0
119;3.0748;0
120;3.10758;0
121;2.99867;0
122;2.99383;1
123;3.01908;0
124;2.98757;0
125;2.99058;1
126;2.9422;0
127;3.05852;0
128;3.0097;0
129;2.99017;1
130;2.7491;0
131;3.18453;0
132;3.08653;0
133;2.98793;0
134;3.01105;0
135;2.92565;0
136;2.95315;0
137;3.10243;1
138;2.9719;0
139;2.88855;0
140;3.15808;0
141;2.9795;0
142;2.82282;0
143;3.07273;0
144;2.76365;0
145;3.3536;0
146;2.94598;1
147;3.05157;0
148;3.00395;0
149;2.96778;0
150;3.01597;0
151;3.00348;1
152;2.98663;0
153;2.90753;0
154;3.10382;1
155;3.0101;1
156;2.80085;1
157;3.10662;0
158;3.09787;0
159;2.87957;0
160;3.09728;1
161;2.95865;0
162;2.92208;0
163;3.1251;0
164;3.02202;0
165;2.98218;0
166;2.99223;0
167;2.93197;1
168;3.02167;0
169;3.07375;0
170;2.97432;0
171;2.97757;0
172;3.03882;1
173;2.9031;0
174;3.09553;1
175;2.97863;0
176;2.94637;1
177;2.92018;0
178;3.12667;0
179;3.02418;0
180;3.02112;0
