Angle;Time_Minutes;Counts_34f
0;0;0
1;3.101;0
2;2.9182;0
3;3.08572;0
4;2.91477;0
5;3.01577;0
6;2.98397;0
7;3.01038;1
8;2.98053;0
9;2.99077;0
10;3.088;0
11;2.93052;0
12;2.98212;1
13;3.15317;0
14;2.89815;0
15;2.95632;1
16;2.991;0
17;3.07638;0
18;3.1189;0
19;2.8079;0
20;3.05367;0
21;2.9976;0
22;3.05463;0
23;3.10048;0
24;2.87868;0
25;2.99572;0
26;2.9986;0
27;2.92957;0
28;2.99448;0
29;3.14413;0
30;2.89892;0
31;3.0176;0
32;3.02658;0
33;3.01285;1
34;2.91275;0
35;2.98042;0
36;3.02477;1
37;2.97595;0
38;3.257;0
39;2.80423;0
40;3.1973;0
41;2.74413;0
42;3.0578;0
43;2.98602;0
44;2.97715;0
45;2.98473;0
46;3.11105;0
47;3.06492;0
48;2.85645;1
49;2.98842;0
50;2.97422;0
51;3.05813;0
52;3.20032;0
53;2.85877;0
54;2.92373;0
55;2.99905;0
56;2.97743;0
57;2.99195;0
58;3.02533;0
59;2.9613;1
60;3.14448;0
61;2.91927;0
62;3.03735;0
63;2.99732;1
64;2.98048;0
65;2.95698;0
66;2.99053;0
67;3.09505;0
68;2.9629;0
69;2.95813;0
70;3.11563;0
71;2.88098;0
72;2.98033;0
73;3.04397;0
74;2.94037;0
75;3.02013;0
76;3.10638;0
77;2.92415;0
78;3.10158;0
79;2.85035;0
80;3.00688;0
81;3.03843;0
82;3.058;1
83;2.95568;0
84;2.97798;0
85;2.9991;0
86;2.98215;0
87;2.99593;0
88;3.13803;0
89;2.87612;0
90;3.00548;0
91;3.15035;0
92;2.89728;0
93;2.96522;0
94;2.94718;0
95;3.04857;0
96;3.00025;0
97;2.96788;0
98;3.00245;1
99;2.98897;1
100;3.00092;0
101;3.01823;0
102;3.01483;0
103;3.06752;0
104;3.03;0
105;2.874;1
106;3.08868;1
107;3.20057;0
108;2.82032;0
109;3.0208;0
110;2.98557;0
111;2.91467;0
112;3.05618;0
113;2.94097;0
114;3.00397;0
115;3.01897;0
116;2.94437;0
117;3.1346;0
118;2.88822;0
119;2.9783;0
120;3.0925;0
121;2.91727;0
122;3.09422;2
123;2.89427;0
124;3.0476;0
125;3.03292;0
126;2.98452;0
127;3.01708;1
128;2.91568;0
129;2.99495;0
130;3.05535;1
131;2.9894;0
132;2.9929;1
133;3.14505;0
134;2.84318;0
135;3.02333;0
136;2.97845;0
137;3.01193;0
138;3.03543;0
139;2.9788;0
140;3.03287;0
141;3.23115;0
142;2.68368;0
143;3.01442;0
144;3.08368;1
145;3.17265;1
146;2.7481;0
147;2.99325;1
148;2.99582;0
149;3.00793;0
150;3.00307;0
151;3.09422;0
152;2.9801;0
153;2.98743;0
154;3.0287;0
155;2.94445;0
156;2.99297;0
157;2.96167;0
158;3.03163;0
159;2.9766;1
160;3.12685;0
161;2.90603;1
162;2.95793;0
163;3.00518;0
164;2.99168;0
165;3.01245;0
166;3.03407;0
167;3.11497;1
168;3.05857;0
169;2.94762;0
170;2.85637;0
171;3.07677;1
172;2.89613;0
173;3.01995;1
174;3.17202;0
175;2.87473;0
176;2.99333;0
177;2.95267;0
178;2.995;0
179;2.24548;0
180;0;0
