Angle;Time_Minutes;Counts_34f
0;0;0
1;3.21222;0
2;2.92732;0
3;3.20817;1
4;2.73515;0
5;2.99243;0
6;2.97968;0
7;3.128;0
8;2.87262;0
9;3.04985;0
10;3.00265;0
11;3.11122;0
12;2.79037;0
13;3.03377;1
14;3.26167;0
15;3.073;0
16;2.73475;0
17;2.93338;0
18;2.9632;0
19;3.03895;0
20;3.26982;0
21;2.71267;0
22;3.02875;0
23;2.98265;0
24;3.43352;0
25;2.59612;0
26;3.19087;0
27;2.87975;0
28;2.88798;1
29;3.05648;0
30;2.94123;1
31;2.98538;0
32;3.00792;0
33;3.03573;0
34;3.25803;0
35;2.69402;0
36;3.08028;0
37;2.93268;0
38;3.01165;0
39;2.98455;0
40;3.12553;0
41;3.30617;0
42;2.63663;0
43;2.97195;0
44;3.08798;0
45;2.94653;0
46;2.91368;0
47;3.11425;0
48;2.95815;0
49;3.0338;0
50;2.95122;0
51;3.07117;0
52;2.88042;0
53;3.03738;0
54;3.09443;0
55;3.04683;0
56;2.85662;0
57;3.01587;1
58;3.03482;0
59;3.02875;0
60;2.90293;0
61;3.00047;1
62;3.06843;1
63;3.05605;0
64;2.9766;0
65;2.91353;0
66;3.42947;1
67;2.57045;0
68;3.09233;0
69;3.00465;0
70;2.94992;0
71;2.95212;0
72;3.30903;0
73;2.65515;0
74;3.01673;0
75;3.21782;0
76;2.92162;0
77;2.84797;0
78;2.99572;0
79;3.01518;0
80;3.14753;0
81;2.95162;1
82;2.96933;0
83;3.00963;0
84;2.95095;0
85;3.03813;0
86;2.95017;0
87;3.08163;0
88;2.91675;0
89;3.08978;0
90;2.9558;1
91;3.2709;0
92;2.67308;0
93;3.04405;0
94;3.14687;0
95;2.7927;0
96;2.98722;0
97;3.01158;0
98;3.34148;0
99;2.68508;0
100;2.98615;0
101;3.11955;0
102;2.9271;0
103;3.0983;0
104;2.83972;0
105;2.99778;0
106;2.99858;0
107;3.13522;0
108;2.90387;0
109;2.95725;0
110;3.3166;0
111;2.82613;0
112;2.88323;0
113;3.00218;0
114;3.0857;1
115;2.9604;0
116;2.95273;0
117;3.26707;0
118;2.70948;0
119;3.05887;0
120;2.99787;0
121;3.0391;0
122;2.9433;0
123;2.99872;0
124;3.03328;0
125;2.93062;0
126;3.05082;0
127;2.9474;0
128;3.07947;0
129;2.92035;0
130;3.19055;0
131;2.82638;1
132;3.29895;0
133;2.86512;0
134;3.03658;2
135;2.78517;1
136;3.10412;0
137;3.01753;1
138;3.07617;0
139;3.01057;0
140;2.84757;0
141;3.80515;0
142;2.25963;0
143;2.90678;0
144;2.99008;0
145;2.98685;0
146;3.295;0
147;2.87035;0
148;2.96057;0
149;2.92872;0
150;2.93145;0
151;3.11337;0
152;2.95695;0
153;3.02867;0
154;3.23998;0
155;2.87402;1
156;2.81637;0
157;3.14287;0
158;2.88155;0
159;3.11653;0
160;2.9671;1
161;2.93503;0
162;2.9326;0
163;3.03853;0
164;2.98212;0
165;2.99605;0
166;3.13283;0
167;3.1947;0
168;2.79515;1
169;2.93405;1
170;2.94308;0
171;3.11332;1
172;2.86727;0
173;3.08615;0
174;3.00702;0
175;2.94768;0
176;2.96965;0
177;3.70683;0
178;2.40607;0
179;1.7968;0
180;0;0
