Angle;Time_Minutes;Counts_34f
0;0;0
1;0;0
2;1.96472;0
3;3.10663;0
4;3.04882;0
5;3.01642;0
6;2.94973;0
7;3.05587;0
8;2.9649;1
9;2.9406;0
10;3.08067;1
11;2.8884;0
12;3.04762;2
13;3.07975;0
14;2.79633;0
15;3.12598;0
16;2.90072;1
17;3.16677;0
18;3.00472;0
19;2.96678;0
20;3.01852;0
21;3.00913;0
22;2.98627;0
23;3.01687;0
24;2.9819;0
25;2.976;0
26;2.95352;0
27;2.92888;0
28;3.1617;0
29;2.93932;0
30;3.06148;0
31;2.9623;0
32;3.02305;0
33;2.97358;0
34;3.02603;1
35;2.94325;0
36;3.05733;0
37;2.9737;0
38;3.03055;0
39;3.00645;0
40;2.99552;0
41;2.95143;0
42;3.03273;0
43;2.89645;0
44;3.08335;0
45;2.95152;0
46;2.95217;0
47;3.11852;0
48;2.93865;0
49;3.04745;0
50;2.96288;0
51;3.03553;0
52;2.89978;0
53;3.09647;0
54;2.92393;0
55;3.11902;0
56;2.9747;0
57;3.01707;0
58;3.0141;0
59;2.96953;0
60;3.00463;0
61;2.92995;1
62;2.9832;0
63;3.05452;0
64;2.96483;0
65;3.0214;1
66;2.94085;0
67;3.10208;0
68;3.02443;0
69;2.76795;0
70;3.20405;0
71;2.85087;0
72;3.17483;0
73;2.97663;0
74;2.56582;0
75;3.46915;1
76;2.96698;0
77;2.94465;0
78;3.08517;0
79;2.8875;0
80;2.93533;0
81;3.12823;0
82;3.04103;0
83;2.95522;1
84;3.00498;0
85;2.9885;0
86;3.03182;1
87;3.0043;0
88;3.01807;0
89;2.97718;1
90;2.97282;1
91;2.83878;0
92;3.11237;0
93;3.09;0
94;3.00168;0
95;2.98725;0
96;2.99403;0
97;3.00363;1
98;2.98918;0
99;2.98302;0
100;2.99058;1
101;2.84173;0
102;3.14033;0
103;2.88368;0
104;3.18667;0
105;2.85513;0
106;2.87788;0
107;3.2292;2
108;3.00497;0
109;2.98322;1
110;3.03643;0
111;3.02012;0
112;2.9129;0
113;3.01317;0
114;2.9561;1
115;2.99145;0
116;3.04433;0
117;3.055;0
118;2.93112;0
119;2.83455;0
120;3.24365;0
121;2.99767;0
122;2.90585;0
123;3.10362;0
124;2.81692;0
125;3.08738;1
126;3.01798;0
127;2.89232;0
128;3.19053;0
129;2.97455;0
130;2.95018;0
131;3.00238;0
132;3.0642;0
133;2.91438;0
134;2.9094;1
135;3.1879;0
136;2.69118;0
137;3.1971;0
138;3.10827;1
139;2.99917;1
140;2.99795;1
141;3.01102;0
142;2.96822;0
143;3.03417;0
144;3.00418;0
145;3.00013;0
146;2.60215;0
147;3.35828;0
148;2.89717;0
149;2.92192;0
150;3.13705;0
151;2.9673;2
152;3.07948;0
153;3.02103;0
154;2.9627;0
155;3.0116;0
156;2.95927;1
157;3.08098;0
158;2.98928;0
159;3.00353;0
160;2.93623;0
161;3.05742;0
162;2.94055;0
163;3.0562;0
164;2.89535;0
165;3.1117;0
166;2.98022;0
167;2.98743;1
168;2.80528;0
169;3.22053;0
170;3.01418;0
171;2.95102;0
172;2.97737;0
173;3.05233;0
174;3.0168;0
175;2.99097;0
176;2.95512;0
177;2.97068;0
178;3.07605;0
179;2.99623;0
180;3.01693;0
